Energy Group,Lower Boundary (eV),Upper Boundary (eV)
1,17333000.0,19640000.0
2,16905000.0,17333000.0
3,16487000.0,16905000.0
4,15683000.0,16487000.0
5,14918000.0,15683000.0
6,14550000.0,14918000.0
7,14191000.0,14550000.0
8,13840000.0,14191000.0
9,13499000.0,13840000.0
10,12840000.0,13499000.0
11,12523000.0,12840000.0
12,12214000.0,12523000.0
13,11618000.0,12214000.0
14,11052000.0,11618000.0
15,10513000.0,11052000.0
16,10000000.0,10513000.0
17,9512300.0,10000000.0
18,9048400.0,9512300.0
19,8607100.0,9048400.0
20,8187300.0,8607100.0
21,7788000.0,8187300.0
22,7408200.0,7788000.0
23,7046900.0,7408200.0
24,6703200.0,7046900.0
25,6592400.0,6703200.0
26,6376300.0,6592400.0
27,6065300.0,6376300.0
28,5769500.0,6065300.0
29,5488100.0,5769500.0
30,5220500.0,5488100.0
31,4965900.0,5220500.0
32,4723700.0,4965900.0
33,4493300.0,4723700.0
34,4065700.0,4493300.0
35,3678800.0,4065700.0
36,3328700.0,3678800.0
37,3166400.0,3328700.0
38,3011900.0,3166400.0
39,2865000.0,3011900.0
40,2725300.0,2865000.0
41,2592400.0,2725300.0
42,2466000.0,2592400.0
43,2385200.0,2466000.0
44,2365300.0,2385200.0
45,2345700.0,2365300.0
46,2306900.0,2345700.0
47,2231300.0,2306900.0
48,2122500.0,2231300.0
49,2019000.0,2122500.0
50,1920500.0,2019000.0
51,1826800.0,1920500.0
52,1737700.0,1826800.0
53,1653000.0,1737700.0
54,1572400.0,1653000.0
55,1495700.0,1572400.0
56,1422700.0,1495700.0
57,1353400.0,1422700.0
58,1287300.0,1353400.0
59,1224600.0,1287300.0
60,1164800.0,1224600.0
61,1108000.0,1164800.0
62,1002600.0,1108000.0
63,961640.0,1002600.0
64,907180.0,961640.0
65,862940.0,907180.0
66,820850.0,862940.0
67,780820.0,820850.0
68,742740.0,780820.0
69,706510.0,742740.0
70,672060.0,706510.0
71,639280.0,672060.0
72,608100.0,639280.0
73,578440.0,608100.0
74,550230.0,578440.0
75,523400.0,550230.0
76,497870.0,523400.0
77,450490.0,497870.0
78,407620.0,450490.0
79,387740.0,407620.0
80,368830.0,387740.0
81,333730.0,368830.0
82,301970.0,333730.0
83,298500.0,301970.0
84,297200.0,298500.0
85,294520.0,297200.0
86,287250.0,294520.0
87,273240.0,287250.0
88,247240.0,273240.0
89,235180.0,247240.0
90,223710.0,235180.0
91,212800.0,223710.0
92,202420.0,212800.0
93,192550.0,202420.0
94,183160.0,192550.0
95,174220.0,183160.0
96,165730.0,174220.0
97,157640.0,165730.0
98,149960.0,157640.0
99,142640.0,149960.0
100,135690.0,142640.0
101,129070.0,135690.0
102,122770.0,129070.0
103,116790.0,122770.0
104,111090.0,116790.0
105,98037.0,111090.0
106,86517.0,98037.0
107,82500.0,86517.0
108,79500.0,82500.0
109,72000.0,79500.0
110,67379.0,72000.0
111,56562.0,67379.0
112,52475.0,56562.0
113,46309.0,52475.0
114,40868.0,46309.0
115,34307.0,40868.0
116,31828.0,34307.0
117,28500.0,31828.0
118,27000.0,28500.0
119,26058.0,27000.0
120,24788.0,26058.0
121,24176.0,24788.0
122,23579.0,24176.0
123,21875.0,23579.0
124,19305.0,21875.0
125,15034.0,19305.0
126,11709.0,15034.0
127,10595.0,11709.0
128,9118.8,10595.0
129,7101.7,9118.8
130,5530.8,7101.7
131,4307.4,5530.8
132,3707.4,4307.4
133,3354.6,3707.4
134,3035.4,3354.6
135,2746.5,3035.4
136,2612.6,2746.5
137,2485.2,2612.6
138,2248.7,2485.2
139,2034.7,2248.7
140,1584.6,2034.7
141,1234.1,1584.6
142,961.12,1234.1
143,748.52,961.12
144,582.95,748.52
145,454.0,582.95
146,353.58,454.0
147,275.36,353.58
148,214.45,275.36
149,167.02,214.45
150,130.07,167.02
151,101.3,130.07
152,78.893,101.3
153,61.442,78.893
154,47.851,61.442
155,37.267,47.851
156,29.023,37.267
157,22.603,29.023
158,17.603,22.603
159,13.71,17.603
160,10.677,13.71
161,8.3153,10.677
162,6.476,8.3153
163,5.0435,6.476
164,3.9279,5.0435
165,3.059,3.9279
166,2.3824,3.059
167,1.8554,2.3824
168,1.445,1.8554
169,1.1254,1.445
170,0.87642,1.1254
171,0.68256,0.87642
172,0.53158,0.68256
173,0.41399,0.53158
174,0.1,0.41399
175,1e-05,0.1
