Time (d),U238
0.0,9929.0
10.0,9832.929730665952
20.0,9737.789010798111
30.0,9643.568846331857
40.0,9550.260330226674
50.0,9457.854641624142
60.0,9366.343045013968
70.0,9275.716889408362
80.0,9185.967607524366
90.0,9097.086714973324
100.0,9009.06580945891
110.0,8921.896569983248
120.0,8835.570756060362
130.0,8750.080206939556
140.0,8665.416840827702
150.0,8581.572654133503
160.0,8498.539720697709
170.0,8416.310191053388
180.0,8416.310190906119
190.0,8416.310190897937
200.0,8416.310190889752
210.0,8416.310190881568
220.0,8416.310190873386
230.0,8416.3101908652
240.0,6664.691482760521
250.0,6600.205902000536
260.0,6536.344162150828
270.0,6473.100296107721
280.0,6410.468335618562
290.0,6348.44237569219
300.0,6287.016574598924
310.0,6226.1851099380365
320.0,6165.942121288829
330.0,6106.282014120844
340.0,6047.199167559723
350.0,5988.688020923056
360.0,5930.743073720373
370.0,5873.358812457081
380.0,5816.529742594852
390.0,5760.250555606768
400.0,5704.515939394884
410.0,5649.3206359906735
420.0,5649.320635759978
430.0,5649.320635754486
440.0,5649.320635748992
450.0,5649.3206357435
460.0,5649.320635738007
470.0,5649.320635732514
480.0,3542.4591906817277
490.0,3508.182614866278
500.0,3474.2409588445207
510.0,3440.6275755729075
520.0,3407.3393024869656
530.0,3374.3730157798973
540.0,3341.7256304025814
550.0,3309.3941000635723
560.0,3277.3754172291005
570.0,3245.666613123072
580.0,3214.2639257645005
590.0,3183.1648162883534
600.0,3152.3664176141847
610.0,3121.865829900194
620.0,3091.660186031408
630.0,3061.746651619681
640.0,3032.1224250036917
650.0,3002.7847372489473
660.0,3002.7847370562604
670.0,3002.784737053341
680.0,3002.784737050421
690.0,3002.7847370475015
700.0,3002.784737044582
710.0,3002.7847370416625
720.0,3002.784737038743
